AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP,Sample ID,Country
0.17787,0.036553,0.00872,0.039265,0.013595,0.034172,0.651356,0.038468,10,HG01525,IBS
0.055235,0.080533,0.005717,0.073906,0.012549,0.004286,0.685659,0.082116,10,HG00339,FIN
0.186391,0.066827,0.016119,0.036761,1.00E-05,0.031967,0.621143,0.040781,10,HG01626,IBS
0.177359,0.036837,0.018359,0.041925,0.010292,0.030265,0.650074,0.034889,10,HG01504,IBS
0.003759,0.046715,0.027016,0.008047,0.00161,0.011138,0.087913,0.813802,10,NA19067,JPT
0.178632,0.049438,0.003905,0.042651,1.00E-05,0.039523,0.648983,0.036859,10,HG01704,IBS
0.179703,0.048858,0.000385,0.044776,0.002132,0.041226,0.654004,0.028917,10,HG01697,IBS
0.199384,0.06861,0.016038,0.015749,0.00671,0.018317,0.640691,0.034501,10,NA20785,TSI
0.183446,0.042403,1.00E-05,0.056755,0.014767,0.014609,0.65715,0.03086,10,HG01684,IBS
0.183482,0.033346,0.000155,0.043399,0.011088,0.030556,0.671025,0.026951,10,HG01784,IBS
0.002358,0.045225,0.017742,0.004022,1.00E-05,0.00832,0.093964,0.828358,10,NA18637,CHB
0.16861,0.053229,0.013686,0.047731,0.013451,0.041587,0.630716,0.03099,10,HG01527,IBS
0.182336,0.055288,1.00E-05,0.047313,0.004514,0.03308,0.654222,0.023237,10,HG01506,IBS
0.19765,0.047743,0.023758,0.018048,1.00E-05,0.018366,0.65939,0.035035,10,NA20796,TSI
0.187299,0.046291,0.001483,0.037754,0.000244,0.035168,0.667658,0.024104,10,HG01767,IBS
0.17065,0.038959,0.00904,0.0586,0.006178,0.033951,0.650006,0.032615,10,HG01530,IBS
0.176918,0.032954,0.004795,0.054796,0.014087,0.028174,0.661984,0.026292,10,HG01707,IBS
0.002285,0.04621,0.02537,0.012114,1.00E-05,0.008902,0.090005,0.815104,10,NA19076,JPT
0.036856,0.084396,0.006591,0.074575,0.005654,0.003246,0.703293,0.085389,10,HG00361,FIN
0.026341,0.076185,0.016863,0.074091,0.008421,0.002451,0.704168,0.09148,10,HG00373,FIN
0.039489,0.097263,0.004708,0.07392,0.00212,0.003147,0.7048,0.074552,10,HG00288,FIN
0.172327,0.032773,0.006667,0.048403,0.01452,0.03594,0.660543,0.028827,10,HG01768,IBS
0.18156,0.061471,0.005152,0.057229,1.00E-05,0.017392,0.642917,0.034269,10,HG01777,IBS
0.177982,0.047503,0.000793,0.048264,0.00471,0.024351,0.658252,0.038146,10,HG01524,IBS
0.001616,0.036684,0.026391,0.012992,1.00E-05,0.009701,0.087826,0.82478,10,NA18740,CHB
0.194864,0.063294,0.021827,0.024938,0.00014,0.02183,0.650676,0.022431,10,NA20832,TSI
0.19757,0.064593,0.019103,0.016161,1.00E-05,0.015943,0.650303,0.036317,10,NA20582,TSI
0.068034,0.097235,0.010447,0.093946,1.00E-05,0.007464,0.68446,0.038404,10,HG00350,FIN
0.199101,0.059187,0.015336,0.020307,0.003454,0.013513,0.661577,0.027525,10,NA20826,TSI
0.188403,0.053726,0.000324,0.045071,0.009399,0.017,0.66483,0.021246,10,HG01631,IBS
0.178299,0.061673,0.006506,0.044321,1.00E-05,0.030747,0.646595,0.031849,10,HG01602,IBS
0.175638,0.060653,0.008953,0.050919,0.003414,0.027434,0.644044,0.028944,10,HG01619,IBS
0.174537,0.052553,0.009974,0.040877,0.009626,0.036097,0.652335,0.024001,10,HG01500,IBS
0.196812,0.064666,0.019904,0.020904,1.00E-05,0.015631,0.654663,0.027411,10,NA20811,TSI
0.191026,0.052689,0.020052,0.019622,0.011699,0.018125,0.659777,0.02701,10,NA20756,TSI
0.059291,0.073046,0.001722,0.080445,0.015961,0.004833,0.701072,0.06363,10,HG00357,FIN
0.050962,0.069169,0.014606,0.077786,0.015614,0.004449,0.705929,0.061486,10,HG00360,FIN
0.180647,0.045015,0.00111,0.047473,0.011748,0.019781,0.668262,0.025963,10,HG01673,IBS
0.170926,0.044034,0.014132,0.034874,0.020527,0.034952,0.64948,0.031075,10,HG01612,IBS
0.061672,0.097517,0.008754,0.074069,0.002523,0.004888,0.694381,0.056197,10,HG00380,FIN
0.191912,0.051377,0.024652,0.014083,0.015089,0.015179,0.655971,0.031737,10,NA20752,TSI
0.174198,0.047231,0.006904,0.044241,0.013992,0.024007,0.65806,0.031368,10,HG01510,IBS
0.032303,0.058914,0.018765,0.079289,0.011119,0.002015,0.71023,0.087365,10,HG00365,FIN
0.1713,0.032988,0.007767,0.049417,0.005388,0.032744,0.668006,0.032389,10,HG01610,IBS
0.066507,0.021541,1.00E-05,0.034827,0.009818,0.00352,0.858829,0.004949,10,HG00120,GBR
0.184349,0.053222,0.004326,0.04316,1.00E-05,0.019436,0.665481,0.030016,10,HG01613,IBS
0.182852,0.066604,1.00E-05,0.039966,0.009855,0.025492,0.644978,0.030243,10,HG01607,IBS
0.175283,0.052811,0.003504,0.056093,0.009346,0.019176,0.652436,0.031352,10,HG01672,IBS
0.043639,0.065148,0.012338,0.078742,0.003043,0.00517,0.707059,0.084862,10,HG00308,FIN
0.183954,0.048728,0.004356,0.046323,0.010824,0.016546,0.668602,0.020667,10,HG01676,IBS
0.17345,0.052359,0.006776,0.04537,0.011663,0.024318,0.658359,0.027704,10,HG01503,IBS
0.175576,0.046459,1.00E-05,0.053841,0.012209,0.01882,0.665332,0.027754,10,HG01513,IBS
0.180128,0.055985,0.010807,0.036824,0.002037,0.024357,0.661555,0.028306,10,HG01632,IBS
0.175877,0.034158,0.004616,0.048997,0.024958,0.017531,0.665787,0.028076,10,HG01675,IBS
0.177056,0.048353,0.003467,0.051472,0.001105,0.021584,0.669389,0.027573,10,HG01761,IBS
0.199454,0.054026,0.022823,0.015886,0.00302,0.014647,0.666972,0.023172,10,NA20586,TSI
0.174841,0.04687,0.001437,0.054956,0.011811,0.018895,0.666002,0.025187,10,HG01680,IBS
0.194374,0.056406,0.015458,0.013732,0.007991,0.017759,0.66664,0.02764,10,NA20790,TSI
0.17185,0.05309,0.012076,0.04956,0.004486,0.024302,0.649917,0.034718,10,HG01756,IBS
0.177569,0.036482,0.011068,0.036312,0.012338,0.022511,0.670038,0.033681,10,HG01670,IBS
0.001143,0.053193,0.022985,0.009062,1.00E-05,0.00827,0.093988,0.811348,10,NA18618,CHB
0.173264,0.048667,0.009917,0.053063,0.014168,0.019221,0.657086,0.024614,10,HG01537,IBS
0.002526,0.045582,0.01988,0.011438,1.00E-05,0.006983,0.10508,0.808502,10,NA18623,CHB
0.177124,0.04931,0.003159,0.044757,0.006059,0.01958,0.672839,0.027172,10,HG01605,IBS
0.175626,0.049398,0.006687,0.065398,0.001472,0.015903,0.658833,0.026682,10,HG01682,IBS
0.174092,0.046116,0.006977,0.032853,0.006693,0.031932,0.665117,0.036221,10,HG01705,IBS
0.176644,0.060726,0.003166,0.048376,1.00E-05,0.025768,0.65792,0.02739,10,HG01747,IBS
0.17769,0.04469,0.006188,0.036101,0.004989,0.024299,0.673605,0.032439,10,HG01678,IBS
0.197873,0.072405,0.011209,0.012746,0.003725,0.016683,0.655825,0.029533,10,NA20770,TSI
0.183321,0.044815,0.004824,0.026643,0.0159,0.020764,0.67313,0.030604,10,NA20587,TSI
0.03252,0.051959,0.014542,0.082237,0.017833,0.004513,0.720328,0.076069,10,HG00349,FIN
0.168275,0.03761,0.00957,0.046595,0.014236,0.025639,0.667535,0.030541,10,HG01507,IBS
0.18315,0.058674,0.004649,0.049554,0.001318,0.014567,0.667104,0.020986,10,HG01771,IBS
0.166261,0.050316,1.00E-05,0.048665,0.004131,0.036943,0.660576,0.033098,10,HG01501,IBS
0.172663,0.058217,1.00E-05,0.043571,1.00E-05,0.032301,0.659104,0.034123,10,HG01710,IBS
0.19095,0.062352,0.017138,0.015269,0.003277,0.011239,0.663764,0.03601,10,NA20818,TSI
0.173891,0.050115,0.007069,0.046648,0.001295,0.021833,0.673582,0.025568,10,HG01625,IBS
0.167996,0.052534,0.013586,0.045458,0.00638,0.028412,0.655228,0.030407,10,HG01617,IBS
0.169328,0.055391,0.017903,0.047886,1.00E-05,0.033907,0.652492,0.023084,10,HG01509,IBS
0.170723,0.050986,1.00E-05,0.060563,0.01316,0.02075,0.660765,0.023043,10,HG01512,IBS
0.16532,0.046997,0.008329,0.048474,0.010481,0.02679,0.66609,0.027518,10,HG01765,IBS
0.172191,0.051859,0.004427,0.047592,1.00E-05,0.023166,0.673853,0.026902,10,HG01679,IBS
0.19134,0.074863,0.019539,0.021143,1.00E-05,0.013934,0.646935,0.032237,10,NA20773,TSI
0.167495,0.048165,0.007787,0.058204,0.013846,0.019091,0.659679,0.025735,10,HG01779,IBS
0.000939,0.039449,0.024591,0.013968,1.00E-05,0.011998,0.102481,0.806564,10,NA19070,JPT
0.001586,0.043281,0.022808,0.010351,0.001949,0.010121,0.09921,0.810693,10,NA19074,JPT
1.00E-05,0.0359,0.028482,0.012925,1.00E-05,0.008261,0.101633,0.812779,10,NA19075,JPT
1.00E-05,0.042769,0.018304,0.015685,1.00E-05,0.015004,0.105313,0.802905,10,NA19078,JPT
0.167803,0.061299,0.002031,0.056326,0.007348,0.026521,0.644964,0.033708,10,HG01608,IBS
0.16448,0.035669,0.015118,0.031829,0.013946,0.034617,0.665101,0.03924,10,HG01757,IBS
0.17051,0.062637,0.002086,0.042125,0.001317,0.033313,0.657664,0.030346,10,HG01620,IBS
0.163359,0.04777,0.01703,0.043807,1.00E-05,0.035508,0.662096,0.030421,10,HG01766,IBS
0.042047,0.084719,0.014164,0.069502,0.007484,0.003939,0.719778,0.058368,10,HG00310,FIN
0.168393,0.030048,1.00E-05,0.033606,0.014086,0.028801,0.690399,0.034657,10,HG01531,IBS
0.152203,0.051255,0.009981,0.048462,0.020557,0.042065,0.634736,0.040741,10,HG01668,IBS
0.164475,0.035074,0.007601,0.049873,0.00641,0.024499,0.6829,0.029168,10,HG01773,IBS
0.197944,0.032267,0.007805,0.00917,1.00E-05,0.01622,0.711553,0.025031,10,NA20531,TSI
0.172033,0.049978,1.00E-05,0.073056,0.009159,0.012307,0.666038,0.017418,10,HG01519,IBS
0.042943,0.075648,0.012445,0.075371,1.00E-05,0.003633,0.719585,0.070365,10,HG00351,FIN
0.168002,0.060848,1.00E-05,0.050193,0.003656,0.027936,0.662174,0.027181,10,HG01770,IBS
0.173769,0.047235,0.003919,0.034266,0.004327,0.022579,0.685916,0.02799,10,HG02221,IBS
0.020164,0.017001,1.00E-05,0.050274,0.021133,0.002654,0.814701,0.074064,10,HG00176,FIN
0.186676,0.049239,0.011446,0.011894,0.003172,0.016995,0.691233,0.029344,10,NA20541,TSI
0.195835,0.018997,0.011394,0.009159,1.00E-05,0.013048,0.725598,0.025959,10,NA20512,TSI
0.16402,0.051838,0.014822,0.041986,0.011593,0.024432,0.659831,0.031479,10,HG01615,IBS
0.174422,0.06521,1.00E-05,0.056677,1.00E-05,0.020495,0.660955,0.02222,10,HG01762,IBS
0.085079,0.097351,0.013441,0.079617,0.011668,0.006988,0.676588,0.029268,10,NA12249,CEU
0.016892,0.009677,1.00E-05,0.056959,0.019441,0.001206,0.804184,0.091631,10,HG00187,FIN
0.159386,0.047882,0.006082,0.04379,0.013392,0.028387,0.657604,0.043476,10,HG01708,IBS
0.009808,0.014684,1.00E-05,0.063289,0.011776,0.001294,0.817554,0.081585,10,HG00271,FIN
0.057772,0.049546,0.015712,0.044303,0.009787,0.005476,0.807384,0.010019,10,HG00121,GBR
0.158906,0.050326,0.006306,0.058565,0.013358,0.030609,0.654496,0.027433,10,HG01686,IBS
0.01403,0.024357,0.003951,0.052004,0.015945,0.001279,0.807552,0.080882,10,HG00185,FIN
0.084595,0.031898,0.009684,0.03427,0.022579,0.006895,0.802859,0.007219,10,HG00128,GBR
0.012273,0.027543,0.00527,0.046512,0.021408,0.0016,0.801185,0.084209,10,HG00272,FIN
0.186585,0.02251,0.00781,0.005501,0.003168,0.016286,0.722082,0.036058,10,NA20514,TSI
0.072038,0.057855,0.01126,0.046384,0.000401,0.004425,0.799383,0.008254,10,HG00115,GBR
0.189121,0.021839,0.007113,0.00432,0.008988,0.014378,0.726002,0.02824,10,NA20519,TSI
0.162425,0.050255,0.000623,0.055668,0.008614,0.024217,0.667864,0.030334,10,HG01606,IBS
0.01834,0.029128,0.004187,0.071832,1.00E-05,0.001368,0.812422,0.062714,10,HG00280,FIN
0.059626,0.090259,0.003568,0.052254,0.010847,0.005139,0.717408,0.060898,10,HG00306,FIN
0.190875,0.027697,0.010752,0.002458,0.003046,0.016199,0.725036,0.023936,10,NA20525,TSI
0.078956,0.063483,0.001936,0.03811,0.009493,0.003129,0.792855,0.012036,10,HG00118,GBR
0.024061,0.026602,1.00E-05,0.055181,0.002149,0.00276,0.816508,0.072729,10,HG00189,FIN
0.03295,0.030989,0.004409,0.053887,0.012564,0.002814,0.802189,0.060198,10,HG00274,FIN
0.015656,0.036607,0.003809,0.059943,0.002194,0.001022,0.815479,0.06529,10,HG00173,FIN
0.017238,0.033697,0.004918,0.051799,0.005311,0.001613,0.800993,0.084431,10,HG00182,FIN
0.170601,0.059724,0.00823,0.069205,0.012741,0.011257,0.647351,0.020891,10,HG01785,IBS
0.044098,0.037319,1.00E-05,0.040816,0.006155,0.001482,0.821071,0.049049,10,HG00277,FIN
0.081022,0.07082,1.00E-05,0.029948,1.00E-05,0.002114,0.809214,0.006861,10,HG00117,GBR
0.07974,0.070279,0.001166,0.032536,1.00E-05,0.005491,0.793887,0.016891,10,HG00111,GBR
0.088031,0.062415,0.004468,0.049056,1.00E-05,0.005841,0.783969,0.00621,10,HG00127,GBR
0.186631,0.034116,0.012458,0.011274,1.00E-05,0.016133,0.722962,0.016415,10,NA20521,TSI
0.021383,0.040169,0.007087,0.05263,0.003102,0.001096,0.813544,0.06099,10,HG00188,FIN
0.167858,0.064244,1.00E-05,0.053323,0.004475,0.024216,0.657087,0.028787,10,HG02219,IBS
0.175014,0.018581,0.014385,0.017668,1.00E-05,0.012735,0.73521,0.026396,10,NA20515,TSI
0.165841,0.043924,1.00E-05,0.067448,0.010511,0.013646,0.677377,0.021244,10,HG01516,IBS
0.022467,0.040747,0.003403,0.044483,0.001227,0.001321,0.815575,0.070778,10,HG00183,FIN
0.001612,0.034588,0.02572,0.010346,1.00E-05,0.008843,0.106007,0.812875,10,NA18564,CHB
0.002031,0.042988,0.021645,0.005801,1.00E-05,0.007316,0.100017,0.820192,10,NA18592,CHB
1.00E-05,0.039406,0.024885,0.003887,1.00E-05,0.010023,0.10718,0.814599,10,NA18597,CHB
0.012517,0.04266,1.00E-05,0.052106,1.00E-05,0.00145,0.814151,0.077095,10,HG00171,FIN
0.100768,0.099472,0.02198,0.079437,0.01007,0.005409,0.655705,0.027158,10,HG00240,GBR
0.183679,0.036704,0.01496,1.00E-05,0.001283,0.013883,0.719205,0.030276,10,NA20511,TSI
1.00E-05,0.037527,0.027256,0.004092,1.00E-05,0.009259,0.109285,0.81256,10,NA19068,JPT
1.00E-05,0.035097,0.021115,0.015789,1.00E-05,0.011946,0.104044,0.811989,10,NA19072,JPT
0.001042,0.045137,0.023046,0.006317,1.00E-05,0.01122,0.099079,0.814148,10,NA19077,JPT
0.03894,0.027087,1.00E-05,0.052087,0.005005,0.001614,0.802113,0.073144,10,HG00266,FIN
0.000824,0.033342,0.027979,0.006284,1.00E-05,0.006947,0.107415,0.817199,10,NA18609,CHB
0.166337,0.060649,0.007834,0.05851,0.007978,0.017136,0.650114,0.031443,10,HG01781,IBS
0.002882,0.033554,0.030683,0.009717,1.00E-05,0.009928,0.090507,0.822719,10,NA18628,CHB
0.002922,0.04489,0.01687,0.001766,1.00E-05,0.008523,0.098639,0.82638,10,NA18574,CHB
